Firm,exchange,industry,year,asset_turnover,roa,roe,current_ratio,interest_cover,debt_to_equity_perc,debt-to_asset_perc,emission_trading,esg_combined,Environmental,Social,Governance,debt_to_asset_perc,Scope_1_and_2,co2_emission,size,ln_revenue,ln_debt,ln_equity,z_score,ln_co2_revenue,emission
VSL.AX,AX,Wholesale Trade,2023,1.38346658,13.8808207,67.29780189,3.31199,4.86556,349.47235,64.70075,FALSE,24.24172812,12.55058028,28.77772638,33.56504288,64.70075,13963,13963,20.727468,20.94227043,20.29207053,19.04081627,6.263879,-11.39810418,0.01121673
VSL.AX,AX,Wholesale Trade,2024,1.11410301,6.16075644,32.88227637,3.14808,2.64442,343.03366,65.11362,FALSE,19.03254697,11.07076957,23.53020449,23.07326697,65.11362,,13865,20.625025,20.78560757,20.19598896,18.96333056,5.2856515,-11.24848461,0.01302702
AAC.AX,AX,Wholesale Trade,2009,0.12893508,-6.33621303,-11.37604379,2.63868,-2.14974,45.99223,27.41817,TRUE,40.50281023,31.17715618,39.76587621,52.0342879,27.41817,,24682,20.802196,18.867275,19.50823209,20.28492985,1.60414037,-8.75344549,0.15791629
AAC.AX,AX,Wholesale Trade,2010,0.29849234,0.43084085,0.75007494,1.69712,-1.66619,60.29843,33.3122,TRUE,44.94674822,25.50505051,39.5375134,75.67857143,33.3122,,49212.3,20.79347,19.58883153,19.69422345,20.20008757,1.97159425,-8.78493266,0.15302142
AAC.AX,AX,Wholesale Trade,2011,0.33367623,1.80082305,3.18245546,2.67236,-1.80998,54.69883,31.62863,TRUE,39.12571682,22.72727273,38.25259241,58.67257027,31.62863,,57763.7,20.873529,19.73671625,19.72242161,20.32574955,2.4765139,-8.77260042,0.1549202
AAC.AX,AX,Wholesale Trade,2012,0.34319307,-1.06807577,-1.8984821,5.16975,-2.38242,64.28452,35.16544,TRUE,33.96121242,21.46811165,30.74039535,53.26847943,35.16544,,58676.4,20.878105,19.80635741,19.83299854,20.27484991,2.34693994,-8.82656453,0.14678164
AAC.AX,AX,Wholesale Trade,2014,0.27945892,-5.11364964,-8.36356109,5.1588,-7.32372,37.7599,25.66757,FALSE,22.66878163,6.54853621,28.07173781,31.06594399,25.66757,,42147.3,20.818639,19.57391378,19.45869695,20.43261938,2.54304277,-8.92498788,0.13302308
AAC.AX,AX,Wholesale Trade,2015,0.29225983,1.04193314,1.59673871,4.86858,-10.21214,50.68661,31.82488,FALSE,25.19920411,6.9023569,24.69769193,46.19223763,31.82488,,41687.9,20.917261,19.63905337,19.77233966,20.45184811,2.36127469,-9.00108717,0.12327571
AAC.AX,AX,Wholesale Trade,2016,0.37683206,7.47586834,11.7786942,6.2533,-8.8574,43.3983,27.8044,FALSE,27.27785076,6.64811379,21.69724505,59.61260794,27.8044,53391.41277,52340.1,21.047607,20.0086008,19.76763118,20.602381,2.2074509,-9.14308271,0.1069571
AAC.AX,AX,Wholesale Trade,2017,0.30506075,6.5760622,10.11608406,7.95003,-10.48474,37.2878,24.55231,FALSE,32.7314691,4.4345898,27.8364354,72.31556678,24.55231,43250.42797,47955.4,21.158714,19.91745823,19.75434934,20.74085327,2.78047157,-9.13943154,0.10734834
AAC.AX,AX,Wholesale Trade,2018,0.25303904,-9.68925861,-14.57301619,9.47989,-13.17915,37.75411,25.35936,FALSE,25.98616465,2.42718447,21.31703924,59.96825397,25.35936,23850.88556,45279.3,21.098476,19.75483672,19.72645353,20.70052931,2.17555068,-9.03423146,0.11925679
AAC.AX,AX,Wholesale Trade,2019,0.26557102,-15.30749236,-23.04615689,5.37171,-16.375,43.39094,28.4532,FALSE,28.36056696,13.32869917,19.74977413,59.77315801,28.4532,111821.1579,623910,20.97525,19.71288693,19.71834059,20.55326013,1.08221319,-6.36912552,1.71365713
